Jenis Kelamin,Umur_Group,Wilayah,Tanggapan_Final,Dimensi_Utama,Sub_Dimensi,Sentimen
Laki laki,12-14 tahun,Agam,berani minta duit orang tua,Lainnya,4.2.1 Perubahan pola asuh,Netral
Laki laki,12-14 tahun,Agam,mie goreng,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,nasi gratis,Lainnya,2.2.7 Keterbatasan makanan,Netral
Laki laki,12-14 tahun,Agam,bantu,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Netral
Laki laki,12-14 tahun,Agam,bantu,5. Pengetahuan Bencana,5.3.1 Solidaritas,Netral
Laki laki,12-14 tahun,Agam,makan nasi mie,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,12-14 tahun,Agam,makan nasi mie,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Laki laki,12-14 tahun,Agam,bantu makan,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,12-14 tahun,Agam,bantu makan,2. Kesehatan,4.3.1 Akses bantuan,Netral
Laki laki,12-14 tahun,Agam,bantu makan,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Laki laki,12-14 tahun,Agam,bantu makan,2. Kesehatan,5.3.1 Solidaritas,Netral
Laki laki,12-14 tahun,Agam,bersih lumpur,2. Kesehatan,1.2.2 Pelibatan pembersihan,Netral
Laki laki,12-14 tahun,Agam,bersih lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Laki laki,12-14 tahun,Agam,bersih lumpur,2. Kesehatan,5.2.2 Menjaga lingkungan,Netral
Laki laki,12-14 tahun,Agam,angkat tas,Lainnya,1.1.2 Kerusakan perlengkapan,Netral
Laki laki,12-14 tahun,Agam,angkat tas,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Laki laki,12-14 tahun,Agam,sedih,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,12-14 tahun,Agam,teman hilang,3. Perlindungan Anak,Lainnya,Negatif
Laki laki,12-14 tahun,Agam,sedih takut trauma,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Laki laki,12-14 tahun,Agam,sedih takut trauma,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,12-14 tahun,Agam,takut datang,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Laki laki,12-14 tahun,Agam,banjir,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,lapar,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Laki laki,12-14 tahun,Agam,sakit perut,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Laki laki,12-14 tahun,Agam,sakit perut,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Laki laki,12-14 tahun,Agam,sakit asam lambung,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Laki laki,12-14 tahun,Agam,makan,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,12-14 tahun,Agam,makan,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Laki laki,12-14 tahun,Agam,tulis,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,lempar bola,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,nyapu,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,cuci piring,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Laki laki,12-14 tahun,Agam,klereng,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,belanja,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,bawa motor,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,sadar sendiri,4. Kesejahteraan Sosial,Lainnya,Netral
Laki laki,12-14 tahun,Agam,masjid,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Agam,ambil bantu sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Laki laki,12-14 tahun,Agam,ambil bantu sekolah,1. Pendidikan,4.3.1 Akses bantuan,Netral
Laki laki,12-14 tahun,Agam,ambil bantu sekolah,1. Pendidikan,5.3.1 Solidaritas,Netral
Laki laki,12-14 tahun,Agam,lihat bagibagi bantu,5. Pengetahuan Bencana,3.3.4 Kesedihan empatik,Netral
Laki laki,12-14 tahun,Agam,lihat bagibagi bantu,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Netral
Laki laki,12-14 tahun,Agam,lihat bagibagi bantu,5. Pengetahuan Bencana,5.3.1 Solidaritas,Netral
Laki laki,12-14 tahun,Agam,karena bantu,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Netral
Laki laki,12-14 tahun,Agam,karena bantu,5. Pengetahuan Bencana,5.3.1 Solidaritas,Netral
Perempuan,8-11 tahun,Pidie Jaya,hilang rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Negatif
Perempuan,8-11 tahun,Pidie Jaya,hilang alat sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,8-11 tahun,Pidie Jaya,baju seragam sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,8-11 tahun,Pidie Jaya,baju seragam sekolah,1. Pendidikan,1.1.2 Kerusakan perlengkapan,Netral
Perempuan,8-11 tahun,Pidie Jaya,baju seragam sekolah,1. Pendidikan,6.1.4.1 Kebutuhan sandang,Netral
Perempuan,8-11 tahun,Pidie Jaya,rumah timbun,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,8-11 tahun,Pidie Jaya,ada pohon mati,5. Pengetahuan Bencana,5.1.2 Penebangan pohon,Netral
Perempuan,8-11 tahun,Pidie Jaya,banjir susul,Lainnya,2.2.7 Keterbatasan makanan,Netral
Perempuan,8-11 tahun,Pidie Jaya,banyak rusa,Lainnya,Lainnya,Netral
Perempuan,8-11 tahun,Pidie Jaya,rumah rusak,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Negatif
Perempuan,8-11 tahun,Pidie Jaya,cerita rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,8-11 tahun,Pidie Jaya,batu rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,8-11 tahun,Pidie Jaya,sakit kena kayu pas banji,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,Pidie Jaya,rasa senang,Lainnya,Lainnya,Positif
Perempuan,8-11 tahun,Pidie Jaya,sakit perut makan,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Perempuan,8-11 tahun,Pidie Jaya,sakit perut makan,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,Pidie Jaya,sakit perut makan,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Perempuan,8-11 tahun,Pidie Jaya,sakit perut makan,2. Kesehatan,4.3.2 Bantuan pangan,Negatif
Perempuan,8-11 tahun,Pidie Jaya,bersih bersih rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Perempuan,8-11 tahun,Pidie Jaya,bersih bersih rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,8-11 tahun,Pidie Jaya,bersih bersih rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Perempuan,8-11 tahun,Pidie Jaya,bersih sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,8-11 tahun,Pidie Jaya,bersih sekolah,1. Pendidikan,1.2.2 Pelibatan pembersihan,Netral
Perempuan,8-11 tahun,Pidie Jaya,bersih sekolah,1. Pendidikan,5.2.2 Menjaga lingkungan,Netral
Perempuan,8-11 tahun,Pidie Jaya,jalan ungsi,Lainnya,6.2.1 Infrastruktur publik,Netral
Laki laki,8-11 tahun,Pidie Jaya,rumah bersih,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,Pidie Jaya,rumah bersih,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,Pidie Jaya,rumah bersih,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Laki laki,8-11 tahun,Pidie Jaya,rasa waswas,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,sedih liat ada,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,Pidie Jaya,baju seragam,1. Pendidikan,1.1.2 Kerusakan perlengkapan,Netral
Laki laki,8-11 tahun,Pidie Jaya,baju seragam,1. Pendidikan,6.1.4.1 Kebutuhan sandang,Netral
Laki laki,8-11 tahun,Pidie Jaya,orang bersih rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,Pidie Jaya,orang bersih rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,Pidie Jaya,orang bersih rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Laki laki,8-11 tahun,Pidie Jaya,rumah timbun,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,Pidie Jaya,banjir datang,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,bantu datang,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Netral
Laki laki,8-11 tahun,Pidie Jaya,bantu datang,5. Pengetahuan Bencana,5.3.1 Solidaritas,Netral
Laki laki,8-11 tahun,Pidie Jaya,bantu alat sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Laki laki,8-11 tahun,Pidie Jaya,bantu alat sekolah,1. Pendidikan,4.3.1 Akses bantuan,Netral
Laki laki,8-11 tahun,Pidie Jaya,bantu alat sekolah,1. Pendidikan,5.3.1 Solidaritas,Netral
Laki laki,8-11 tahun,Pidie Jaya,berani,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,ambil nasi posko,Lainnya,2.2.7 Keterbatasan makanan,Netral
Laki laki,8-11 tahun,Pidie Jaya,ambil nasi posko,Lainnya,3.6.1 Ruang aman,Netral
Laki laki,8-11 tahun,Pidie Jaya,takut waktu banjir,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Laki laki,8-11 tahun,Pidie Jaya,takut,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Laki laki,8-11 tahun,Pidie Jaya,rasa sedih,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,Pidie Jaya,lapar ada makan banjir,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Laki laki,8-11 tahun,Pidie Jaya,lapar ada makan banjir,2. Kesehatan,4.3.2 Bantuan pangan,Negatif
Laki laki,8-11 tahun,Pidie Jaya,ajar,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,main,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,bersih bersih,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,Pidie Jaya,bersih bersih,Lainnya,5.2.2 Menjaga lingkungan,Netral
Laki laki,8-11 tahun,Pidie Jaya,lelah capek,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Laki laki,8-11 tahun,Pidie Jaya,jalan acara pss,Lainnya,6.2.1 Infrastruktur publik,Netral
Perempuan,12-14 tahun,Pidie Jaya,rasa takut,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,12-14 tahun,Pidie Jaya,sekolah timbun,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,12-14 tahun,Pidie Jaya,pingin sekolah dulu rapi,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,12-14 tahun,Pidie Jaya,pingin sekolah dulu rapi,1. Pendidikan,6.1.1 Pemulihan pendidikan,Netral
Perempuan,12-14 tahun,Pidie Jaya,melihathalaman rumah bersih,3. Perlindungan Anak,1.2.2 Pelibatan pembersihan,Positif
Perempuan,12-14 tahun,Pidie Jaya,melihathalaman rumah bersih,3. Perlindungan Anak,3.6.1 Ruang aman,Positif
Perempuan,12-14 tahun,Pidie Jaya,melihathalaman rumah bersih,3. Perlindungan Anak,4.1.1.2 Kerusakan rumah,Positif
Perempuan,12-14 tahun,Pidie Jaya,melihathalaman rumah bersih,3. Perlindungan Anak,5.2.2 Menjaga lingkungan,Positif
Perempuan,12-14 tahun,Pidie Jaya,bantu ibu,5. Pengetahuan Bencana,3.4.1 Kehilangan keluarga,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu ibu,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu ibu,5. Pengetahuan Bencana,5.3.1 Solidaritas,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih barang rusak,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Negatif
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih barang rusak,4. Kesejahteraan Sosial,4.3.1 Akses bantuan,Negatif
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih barang rusak,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Negatif
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih barang rusak,4. Kesejahteraan Sosial,5.3.1 Solidaritas,Negatif
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih rumah,4. Kesejahteraan Sosial,4.3.1 Akses bantuan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih rumah,4. Kesejahteraan Sosial,5.3.1 Solidaritas,Netral
Perempuan,12-14 tahun,Pidie Jaya,cerita rumah rusak,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Negatif
Perempuan,12-14 tahun,Pidie Jaya,rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,12-14 tahun,Pidie Jaya,berani,Lainnya,Lainnya,Netral
Perempuan,12-14 tahun,Pidie Jaya,sangat lelah banjir,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Perempuan,12-14 tahun,Pidie Jaya,sedih,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Perempuan,12-14 tahun,Pidie Jaya,senang selamat,Lainnya,Lainnya,Positif
Perempuan,12-14 tahun,Pidie Jaya,sakit perut,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,12-14 tahun,Pidie Jaya,sakit perut,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Perempuan,12-14 tahun,Pidie Jaya,bersih lumpur,2. Kesehatan,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bersih lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bersih lumpur,2. Kesehatan,5.2.2 Menjaga lingkungan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih sekolah,1. Pendidikan,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih sekolah,1. Pendidikan,4.3.1 Akses bantuan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih sekolah,1. Pendidikan,5.2.2 Menjaga lingkungan,Netral
Perempuan,12-14 tahun,Pidie Jaya,bantu bersih sekolah,1. Pendidikan,5.3.1 Solidaritas,Netral
Perempuan,12-14 tahun,Pidie Jaya,jalan ungsi,Lainnya,6.2.1 Infrastruktur publik,Netral
Perempuan,12-14 tahun,Pidie Jaya,jalan seko,Lainnya,6.2.1 Infrastruktur publik,Netral
Laki laki,12-14 tahun,Pidie Jaya,bersih rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,12-14 tahun,Pidie Jaya,bersih rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,12-14 tahun,Pidie Jaya,bersih rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Laki laki,12-14 tahun,Pidie Jaya,bersih tanah timbun,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Laki laki,12-14 tahun,Pidie Jaya,bersih tanah timbun,Lainnya,5.2.2 Menjaga lingkungan,Netral
Laki laki,12-14 tahun,Pidie Jaya,mau ajar,6. Harapan Anak,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,ingin hidup bersih,6. Harapan Anak,1.2.2 Pelibatan pembersihan,Netral
Laki laki,12-14 tahun,Pidie Jaya,ingin hidup bersih,6. Harapan Anak,5.2.2 Menjaga lingkungan,Netral
Laki laki,12-14 tahun,Pidie Jaya,tidak tersa tenang hujan,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,main seperti dulu,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,pikir rumah rusak,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Negatif
Laki laki,12-14 tahun,Pidie Jaya,suruh bersih rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,12-14 tahun,Pidie Jaya,suruh bersih rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,12-14 tahun,Pidie Jaya,suruh bersih rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Laki laki,12-14 tahun,Pidie Jaya,cerita rumah rusak,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Negatif
Laki laki,12-14 tahun,Pidie Jaya,rumah tanam lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Laki laki,12-14 tahun,Pidie Jaya,rumah tanam lumpur,2. Kesehatan,4.1.1.2 Kerusakan rumah,Netral
Laki laki,12-14 tahun,Pidie Jaya,sangat berani,Lainnya,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,lelah,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Laki laki,12-14 tahun,Pidie Jaya,rasa sakit,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Laki laki,12-14 tahun,Pidie Jaya,rasa senang,Lainnya,Lainnya,Positif
Laki laki,12-14 tahun,Pidie Jaya,lapar,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Laki laki,12-14 tahun,Pidie Jaya,main atas lumpur,2. Kesehatan,1.1.2 Kerusakan perlengkapan,Netral
Laki laki,12-14 tahun,Pidie Jaya,main atas lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Laki laki,12-14 tahun,Pidie Jaya,sadar sendiri,4. Kesejahteraan Sosial,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,bantu keluar barang,4. Kesejahteraan Sosial,4.3.1 Akses bantuan,Netral
Laki laki,12-14 tahun,Pidie Jaya,bantu keluar barang,4. Kesejahteraan Sosial,5.3.1 Solidaritas,Netral
Laki laki,12-14 tahun,Pidie Jaya,bersih rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,12-14 tahun,Pidie Jaya,bersih rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,12-14 tahun,Pidie Jaya,bersih rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,hilang baju,Lainnya,6.1.4.1 Kebutuhan sandang,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,hilang alat sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,mati lampu,Lainnya,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,ibu menang banyak barang hilang banjir,4. Kesejahteraan Sosial,3.4.1 Kehilangan keluarga,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,lihat hantu,Lainnya,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,jangan banjir jadi,Lainnya,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,makan mie,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,makan mie,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,makan telur,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,makan telur,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,pegal,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,gelisah air makin tinggi,Lainnya,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,sedih bisa sekolah tidak pakai,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,sedih bisa sekolah tidak pakai,1. Pendidikan,3.3.4 Kesedihan empatik,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,tunggu beri makan baru makan,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,tunggu beri makan baru makan,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,jalan jauh kampung belah,Lainnya,6.2.1 Infrastruktur publik,Netral
Perempuan,8-11 tahun,Aceh Tamiang,kena kutu air,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,makan pakai indomie,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,makan pakai indomie,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,makan pakai garam,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,makan pakai garam,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,sedih liat ada,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,orang bersih rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,orang bersih rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,Aceh Tamiang,orang bersih rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,lihat ular,3. Perlindungan Anak,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,lihat buaya,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,suara ular,3. Perlindungan Anak,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,dengar kabarberita banjir,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,berita orang hanyut,Lainnya,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,Aceh Tamiang,suara minta,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,susah masak ga gas kayu,Lainnya,Lainnya,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,susah air minum,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,gel angkat barang,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,suasana jadi gaduh banjir,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,sedih lihat orang yang kena banjir lebih parah,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,lapar ada makan banjir,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,lapar ada makan banjir,2. Kesehatan,4.3.2 Bantuan pangan,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,masuk angin ada hangat selimut,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,gel renang,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,gel angkat barang ungsi,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,kena paku,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,hampir tenggelam hanyut,Lainnya,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,Aceh Tamiang,jalan ecek saudara kampung belah,Lainnya,6.2.1 Infrastruktur publik,Netral
Perempuan,12-14 tahun,Aceh Tamiang,barang sekolah hancur,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,12-14 tahun,Aceh Tamiang,buku habis,1. Pendidikan,1.1.2 Kerusakan perlengkapan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,takut barang sekolah hanyut,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,takut barang sekolah hanyut,1. Pendidikan,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,takut barang sekolah hanyut,1. Pendidikan,4.1.1.2 Kerusakan rumah,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,banyak lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,tanam mati,5. Pengetahuan Bencana,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,lingkung kotor rusak,2. Kesehatan,2.2.3 Paparan lingkungan,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,bunga hanyut,Lainnya,4.1.1.2 Kerusakan rumah,Netral
Perempuan,12-14 tahun,Aceh Tamiang,cepat surut,Lainnya,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,keluh barang hanyut,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,12-14 tahun,Aceh Tamiang,banyak orang lapar,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,banyak lingkung hancur,Lainnya,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,makan mie,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,makan mie,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,makan telur,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,makan telur,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,gel bersihin lumpur,2. Kesehatan,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,gel bersihin lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
