Jenis Kelamin,Umur_Group,Wilayah,Tanggapan,Tanggapan_Final,Dimensi,Sentimen
Perempuan,12-14 tahun,Sibolga Utara,sedih takut kehilangan orangtuaadik,sedih takut hilang orangtuaadik,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Sibolga Utara,gelisah,gelisah,Lainnya,Netral
Perempuan,12-14 tahun,Sibolga Utara,tidak senang,senang,Lainnya,Positif
Perempuan,12-14 tahun,Sibolga Utara,takut sewaktu datang hujan,takut waktu datang hujan,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Sibolga Utara,saya merasakan hati saya sedih merasa takut dan pedih karena melihat semuanya pada saat kejadian dan selesai kejadian,rasa hati sedih rasa takut pedih lihat semua saat jadi selesai jadi,1. Pendidikan,Negatif
Perempuan,12-14 tahun,Sibolga Utara,saya merasakan hati saya sedih merasa takut dan pedih karena melihat semuanya pada saat kejadian dan selesai kejadian,rasa hati sedih rasa takut pedih lihat semua saat jadi selesai jadi,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Sibolga Utara,ingin menangis karena mendengar sibolga tidak selamat lagi sangat sedih mendengar perkataannya ingin mendoakan agar tidak terjadi yang tidak diinginkan,menang dengar sibolga selamat sangat sedih dengar kata doa tidak jadi tidak ingin,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Sibolga Utara,ingin menangis karena mendengar sibolga tidak selamat lagi sangat sedih mendengar perkataannya ingin mendoakan agar tidak terjadi yang tidak diinginkan,menang dengar sibolga selamat sangat sedih dengar kata doa tidak jadi tidak ingin,6. Harapan Anak,Negatif
Perempuan,12-14 tahun,Sibolga Utara,saya merasakan pingga saya sakit dan perut saya pedih karena lapar,rasa pingga sakit perut pedih lapar,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Sibolga Utara,terasa seperti ingin datang mens yang belum pernah dirasakan ternyata karena belum makan dari pagi terasa sakit banget,asa ingin datang mens belum pernah rasa nyata belum makan pagi asa sakit banget,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Sibolga Utara,terasa seperti ingin datang mens yang belum pernah dirasakan ternyata karena belum makan dari pagi terasa sakit banget,asa ingin datang mens belum pernah rasa nyata belum makan pagi asa sakit banget,6. Harapan Anak,Negatif
Perempuan,12-14 tahun,Sibolga Utara,tanganku terasa sakit karena memegang barangbarang atau baju untuk mandi,tangan asa sakit pegang barangbarang baju mandi,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Sibolga Utara,tanganku terasa sakit karena memegang barangbarang atau baju untuk mandi,tangan asa sakit pegang barangbarang baju mandi,4. Kesejahteraan Sosial,Negatif
Perempuan,12-14 tahun,Sibolga Utara,untuk makan,makan,2. Kesehatan,Netral
Perempuan,12-14 tahun,Sibolga Utara,tangan untuk cebok,tangan cebok,Lainnya,Netral
Perempuan,12-14 tahun,Sibolga Utara,kedinginan,dingin,6. Harapan Anak,Netral
Perempuan,12-14 tahun,Sibolga Utara,kesemutan,semut,Lainnya,Netral
Perempuan,12-14 tahun,Sibolga Utara,pada saat itu saya merasakan tangan saya terasa pegal sakit lelah karena mengangkat barang dll,saat rasa tangan saya asa pegal sakit lelah angkat barang,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Sibolga Utara,pada saat itu saya merasakan tangan saya terasa pegal sakit lelah karena mengangkat barang dll,saat rasa tangan saya asa pegal sakit lelah angkat barang,4. Kesejahteraan Sosial,Negatif
Perempuan,12-14 tahun,Sibolga Utara,disuruh ngangkat air,suruh ngangkat air,Lainnya,Netral
Perempuan,12-14 tahun,Sibolga Utara,mengangkat batu membantu membereskan rumah mencuci piring,angkat batu bantu beres rumah cuci piring,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Sibolga Utara,mengangkat batu membantu membereskan rumah mencuci piring,angkat batu bantu beres rumah cuci piring,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,Sibolga Utara,pada saat itu kaki saya terasa sakit pegal karena berlari saat kejadian bencana alam,kaki asa sakit pegal lari saat jadi bencana alam,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Sibolga Utara,capek lari kakiku sakit kakiku terluka,capek lari kaki sakit kaki luka,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Sibolga Utara,sakit terluka terkena duri berlari mengangkat barang,sakit luka kena duri lari angkat barang,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Sibolga Utara,sakit terluka terkena duri berlari mengangkat barang,sakit luka kena duri lari angkat barang,4. Kesejahteraan Sosial,Negatif
Perempuan,12-14 tahun,Sibolga Utara,berjalan membantu orangrua orang lain berlariperlombaan lari karena mulai naik mainmain dengan teman berjalanjalan ke sekolah,jalan bantu orangrua orang berlariperlombaan lari mulai naik mainmain teman berjalanjalan sekolah,1. Pendidikan,Netral
Perempuan,12-14 tahun,Sibolga Utara,berjalan membantu orangrua orang lain berlariperlombaan lari karena mulai naik mainmain dengan teman berjalanjalan ke sekolah,jalan bantu orangrua orang berlariperlombaan lari mulai naik mainmain teman berjalanjalan sekolah,3. Perlindungan Anak,Netral
Perempuan,12-14 tahun,Sibolga Utara,berjalan membantu orangrua orang lain berlariperlombaan lari karena mulai naik mainmain dengan teman berjalanjalan ke sekolah,jalan bantu orangrua orang berlariperlombaan lari mulai naik mainmain teman berjalanjalan sekolah,5. Pengetahuan Bencana,Netral
Laki laki,12-14 tahun,Sibolga Utara,agak sedikit santai,sedikit santai,Lainnya,Netral
Laki laki,12-14 tahun,Sibolga Utara,rumahrumah tidak ada lagi,rumahrumah ada,4. Kesejahteraan Sosial,Netral
Laki laki,12-14 tahun,Sibolga Utara,suara sungai berbunyi batu bergetargetar,suara sungai bunyi batu bergetargetar,5. Pengetahuan Bencana,Netral
Laki laki,12-14 tahun,Sibolga Utara,suara hujan,suara hujan,Lainnya,Netral
Laki laki,12-14 tahun,Sibolga Utara,suara batu,suara batu,Lainnya,Netral
Laki laki,12-14 tahun,Sibolga Utara,suara petir,suara petir,Lainnya,Netral
Laki laki,12-14 tahun,Sibolga Utara,mau bertemu keluarga,mau temu keluarga,3. Perlindungan Anak,Netral
Laki laki,12-14 tahun,Sibolga Utara,mau bertemu keluarga,mau temu keluarga,6. Harapan Anak,Netral
Laki laki,12-14 tahun,Sibolga Utara,indomie,indomie,Lainnya,Netral
Laki laki,12-14 tahun,Sibolga Utara,senang,senang,Lainnya,Positif
Laki laki,12-14 tahun,Sibolga Utara,tidak ada,ada,Lainnya,Netral
Laki laki,12-14 tahun,Sibolga Utara,takut jantung degdeg an dan khawatir,takut jantung degdeg an khawatir,3. Perlindungan Anak,Negatif
Laki laki,12-14 tahun,Sibolga Utara,tidak kenapakenapa,kenapakenapa,Lainnya,Netral
Laki laki,12-14 tahun,Sibolga Utara,tangan saya terkilir,tangan kilir,Lainnya,Netral
Laki laki,12-14 tahun,Sibolga Utara,kakiku tidak kenapakenapa,kaki kenapakenapa,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,saya ingin menyelamatkan orang tua,ingin selamat orang tua,6. Harapan Anak,Netral
Laki laki,8-11 tahun,Tapsel,handphone hilang,handphone hilang,Lainnya,Negatif
Laki laki,8-11 tahun,Tapsel,menyelmatkan orang jadi super hero,menyelmatkan orang jadi super hero,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,menyelamatkan orang,selamat orang,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,saya pasrah jika hari ini akan mati ternyata saya selamat aku merasa ketakutan dan akan hanyut dan terbawa air deras aku tidak takut lagi masih berani dan tenang,pasrah hari akan mati nyata selamat aku rasa takut akan hanyut bawa air deras aku takut masih berani tenang,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Tapsel,banyak kayu,banyak kayu,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,garoga kosong,garoga kosong,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,kosong,kosong,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,hancur garoga,hancur garoga,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,orang hanyut,orang hanyut,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,teriakan,ria,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,ada tiang listrik,tiang listrik,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,banyak batu,banyak batu,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,banyak kayukayu,banyak kayukayu,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,lihat orang hanyut,lihat orang hanyut,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,siapapun yang mereka temui akan mereka ceritakan,siapa mereka temu mereka cerita,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,makan roti,makan roti,2. Kesehatan,Netral
Laki laki,8-11 tahun,Tapsel,makan ayam,makan ayam,2. Kesehatan,Netral
Laki laki,8-11 tahun,Tapsel,makan daging sapi,makan daging sapi,2. Kesehatan,Netral
Laki laki,8-11 tahun,Tapsel,air putih,air putih,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,indomie dengan nasi,indomie nasi,Lainnya,Netral
Laki laki,8-11 tahun,Tapsel,perasaannya biasa aja bosan karna makannya ituitu terus,asa biasa aja bosan karna makan ituitu terus,2. Kesehatan,Netral
Laki laki,8-11 tahun,Tapsel,lebih banyak merasakan sakit di tangan dan kaki,lebih banyak rasa sakit tangan kaki,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Tapsel,tidak nyaman sering hujan dan angin kencang,nyaman sering hujan angin kencang,3. Perlindungan Anak,Positif
Laki laki,8-11 tahun,Tapsel,karna di tenda takut banjir lagi,karna tenda takut banjir,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Tapsel,kondisi dingin,kondisi dingin,6. Harapan Anak,Netral
Laki laki,8-11 tahun,Tapsel,tidak merasakan sakit dibagian pinggang dan perut sakitnya di tangan dan kaki saja,rasa sakit bagi pinggang perut sakit tangan kaki,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Tapsel,tangan sakit karna pegangan sama apapun agar tidak hanyut,tangan sakit karna pegang sama apa tidak hanyut,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Tapsel,kaki sakit karna menahan untuk bisa pegangan sama apapun agar tidak hanyut,kaki sakit karna tahan bisa pegang sama apa tidak hanyut,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Tapsel,kaki sakit,kaki sakit,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Tapsel,kaki sakit karna main air,kaki sakit karna main air,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Tapsel,kaki sakit karna main bola,kaki sakit karna main bola,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,saya merasa sedih takut kehilangan orang tua,rasa sedih takut hilang orang tua,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Tapsel,sedih dan takut,sedih takut,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Tapsel,merasakan sedih saat banjir datang membawa gelondongan kayu,rasa sedih banjir datang bawa gelondong kayu,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Tapsel,takut kehilangan orang tua kakak abang resah dan sakit kena kayu,takut hilang orang tua kakak abang resah sakit kena kayu,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,takut kehilangan orang tua kakak abang resah dan sakit kena kayu,takut hilang orang tua kakak abang resah sakit kena kayu,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Tapsel,merasa sakit hati,rasa sakit hati,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,gelondongan kayu besar dan air besar,gelondong kayu besar air besar,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,waktu rumah indah sekarang menjadi kayu gelondongan,waktu rumah indah sekarang jadi kayu gelondong,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Tapsel,gelodongan kayu besar dan air besar dulu tidak ada banjir dan kayu besar desa garoga itu indah,godong kayu besar air besar dulu ada banjir kayu besar desa garoga indah,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,melihat kayu gelondongan besar,lihat kayu gelondong besar,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,melihat air yang besar air mengalir terus kayukayu lewat rumah kami hancur penghuni garoga banyak mati sekarang warga garoga gak banyak lagi,lihat air besar air alir terus kayukayu lewat rumah hancur huni garoga banyak mati sekarang warga garoga gak banyak,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Tapsel,dulu saya sangat senang garoga banyak pohon hijau sekarang hancur berkepingkeping,dulu sangat senang garoga banyak pohon hijau sekarang hancur berkepingkeping,5. Pengetahuan Bencana,Positif
Perempuan,8-11 tahun,Tapsel,banyak kayu,banyak kayu,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,garoga kosong,garoga kosong,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,kosong,kosong,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,hancur garoga kosong,hancur garoga kosong,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,berita tentang banyak orang mati ternyata hoax,berita banyak orang mati nyata hoax,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,mendengar teman selamat,dengar teman selamat,3. Perlindungan Anak,Netral
Perempuan,8-11 tahun,Tapsel,mendengar orangtua bersedih,dengar orangtua sedih,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Tapsel,saya merasa sedih takut kehilangan orang tua,rasa sedih takut hilang orang tua,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Tapsel,takut kehilangan orang tua kakak abang resah dan sakit kena,takut hilang orang tua kakak abang resah sakit kena,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,takut kehilangan orang tua kakak abang resah dan sakit kena,takut hilang orang tua kakak abang resah sakit kena,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Tapsel,semoga bukubuku untuk sekolah segera datang,moga bukubuku sekolah segera datang,1. Pendidikan,Netral
Perempuan,8-11 tahun,Tapsel,semoga banjir tidak datang lagi saya mau lihat garoga seperti dulu lagi banyak pohon hijau,moga banjir datang saya mau lihat garoga dulu banyak pohon hijau,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,Tapsel,semoga banjir tidak datang lagi saya mau lihat garoga seperti dulu lagi banyak pohon hijau,moga banjir datang saya mau lihat garoga dulu banyak pohon hijau,6. Harapan Anak,Netral
Perempuan,8-11 tahun,Tapsel,saya mau uang untuk bantu orangtua membeli kebutuhan rumah,mau uang bantu orangtua beli butuh rumah,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Tapsel,saya mau uang untuk bantu orangtua membeli kebutuhan rumah,mau uang bantu orangtua beli butuh rumah,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,Tapsel,saya mau uang untuk bantu orangtua membeli kebutuhan rumah,mau uang bantu orangtua beli butuh rumah,6. Harapan Anak,Netral
Perempuan,8-11 tahun,Tapsel,saya akan ceritakan kepada bapak desa ibu bapak bobby,akan cerita bapak desa ibu bapak bobby,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,makan roti,makan roti,2. Kesehatan,Netral
Perempuan,8-11 tahun,Tapsel,makan ayam,makan ayam,2. Kesehatan,Netral
Perempuan,8-11 tahun,Tapsel,makan daging sapi,makan daging sapi,2. Kesehatan,Netral
Perempuan,8-11 tahun,Tapsel,air putih,air putih,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,indomie dengan nasi,indomie nasi,Lainnya,Netral
Perempuan,8-11 tahun,Tapsel,makan nasi aja dan air putih akhirnya bisa makan lagi,makan nasi aja air putih akhir makan,2. Kesehatan,Netral
Perempuan,8-11 tahun,Tapsel,makan nasi dengan sayur dan air putih,makan nasi sayur air putih,2. Kesehatan,Netral
Perempuan,8-11 tahun,Tapsel,perasaannya biasa aja bosan karna terlalu sering makan yang sama,asa biasa aja bosan karna terlalu sering makan sama,2. Kesehatan,Netral
Perempuan,8-11 tahun,Tapsel,sakit karna pegal saat banjir,sakit karna pegal banjir,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,sakit karna tidur di tenda,sakit karna tidur tenda,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,sakit karna kena dorongdorongan kayu saat banjir,sakit karna kena dorongdorongan kayu banjir,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,merasa sedih dan takut,rasa sedih takut,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Tapsel,sakit hati karna banjir,sakit hati karna banjir,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,setelah banjir selesai agak lebih tenang karna gak panik lagi macam waktu itu,banjir selesai lebih tenang karna gak panik macam waktu,1. Pendidikan,Netral
Perempuan,8-11 tahun,Tapsel,pinggang pegal karna tidur tidak nyaman,pinggang pegal karna tidur nyaman,2. Kesehatan,Positif
Perempuan,8-11 tahun,Tapsel,pinggang pegal karna tidur tidak nyaman,pinggang pegal karna tidur nyaman,3. Perlindungan Anak,Positif
Perempuan,8-11 tahun,Tapsel,perut sakit karna banyak makan indomie,perut sakit karna banyak makan indomie,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,sakit karna pegal,sakit karna pegal,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,sakit karna pegang apapun saat banjir,sakit karna pegang apa banjir,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,kaki sakit karna bertahan untuk pegangan saat banjir,kaki sakit karna tahan pegang banjir,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,kaki sakit berjalan jauh saat banjir,kaki sakit jalan jauh banjir,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Tapsel,kaki sakit karna setelah banjir berjalan jauh,kaki sakit karna banjir jalan jauh,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Tapsel,saya takut khawatir buku sekolah dan barang kesayangan hanyut semua takut kelaparan dan takut liat orangorang hanyut,takut khawatir buku sekolah barang sayang hanyut semua takut lapar takut liat orangorang hanyut,1. Pendidikan,Negatif
Perempuan,12-14 tahun,Tapsel,saya takut khawatir buku sekolah dan barang kesayangan hanyut semua takut kelaparan dan takut liat orangorang hanyut,takut khawatir buku sekolah barang sayang hanyut semua takut lapar takut liat orangorang hanyut,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Tapsel,saya takut khawatir buku sekolah dan barang kesayangan hanyut semua takut kelaparan dan takut liat orangorang hanyut,takut khawatir buku sekolah barang sayang hanyut semua takut lapar takut liat orangorang hanyut,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Tapsel,saya takut khawatir buku sekolah dan barang kesayangan hanyut semua takut kelaparan dan takut liat orangorang hanyut,takut khawatir buku sekolah barang sayang hanyut semua takut lapar takut liat orangorang hanyut,4. Kesejahteraan Sosial,Negatif
Perempuan,12-14 tahun,Tapsel,takut gelisah takut hanyut,takut gelisah takut hanyut,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Tapsel,saat banjir aku sama mama tapi mamaku hanyut dan meninggal sampai saat ini jenazahnya belum ditemukan aku sedih banget,banjir aku sama mama mama hanyut tinggal saat jenazah temu aku sedih banget,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Tapsel,saat banjir saya takut sekali karna orangtua bapak saya hanyut tapi alhamdulillah selamat,banjir takut sekali karna orangtua bapak hanyut alhamdulillah selamat,3. Perlindungan Anak,Netral
Perempuan,12-14 tahun,Tapsel,sedih dan menangis karna orangtua saya hanyut saat banjir dan yang tidak hanyut hanya saya saja,sedih menang karna orangtua hanyut banjir yang hanyut saya,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Tapsel,disaat banjir saya tidak bisa melihat bagaimana besarnya air itu saya berdoa kepada allah meminta adik saya selamat tetapi tidak bisa saya menangis melihat adik saya hanyut dan meninggal,saat banjir tidak lihat bagaimana besar air doa allah minta adik selamat tidak saya menang lihat adik saya hanyut tinggal,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,pada saat banjir saya takut karna air sudah di depan kami saya dan keluarga sampai kami semua terdorong kereta motor tapi bersyukur kami sekelurga masih selamat,saat banjir takut karna air di depan saya keluarga semua dorong kereta motor syukur kami sekelurga selamat,3. Perlindungan Anak,Netral
Perempuan,12-14 tahun,Tapsel,pada saat banjir saya takut karna air sudah di depan kami saya dan keluarga sampai kami semua terdorong kereta motor tapi bersyukur kami sekelurga masih selamat,saat banjir takut karna air di depan saya keluarga semua dorong kereta motor syukur kami sekelurga selamat,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,Tapsel,sesudah banjir semua jadi berbeda semua hancur rumah kami hancur sunyi sekali rasanya,banjir semua jadi beda semua hancur rumah hancur sunyi sekali rasa,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Tapsel,saya mau kembali lagi kerumah kami yang dulu dan keluar dari tenda supaya bisa kembali ziarah ke makam nenek saya,mau lagi rumah yang dulu keluar tenda bisa ziarah makam nenek,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Tapsel,saya mau kembali lagi kerumah kami yang dulu dan keluar dari tenda supaya bisa kembali ziarah ke makam nenek saya,mau lagi rumah yang dulu keluar tenda bisa ziarah makam nenek,6. Harapan Anak,Netral
Perempuan,12-14 tahun,Tapsel,setelah banjir saya melihat melihat rumah saya dan teman saya sudah tidak ada lagi sudah hanyut dan terendam lumpur,banjir lihat lihat rumah teman sudah ada sudah hanyut dan rendam lumpur,2. Kesehatan,Netral
Perempuan,12-14 tahun,Tapsel,setelah banjir saya melihat melihat rumah saya dan teman saya sudah tidak ada lagi sudah hanyut dan terendam lumpur,banjir lihat lihat rumah teman sudah ada sudah hanyut dan rendam lumpur,3. Perlindungan Anak,Netral
Perempuan,12-14 tahun,Tapsel,setelah banjir saya melihat melihat rumah saya dan teman saya sudah tidak ada lagi sudah hanyut dan terendam lumpur,banjir lihat lihat rumah teman sudah ada sudah hanyut dan rendam lumpur,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Tapsel,setelah tidak banjir saya mulai senang lagi karna saya sudah berkumpul dengan keluarga saya lagi,tidak banjir mulai senang karna sudah kumpul keluarga lagi,3. Perlindungan Anak,Positif
Perempuan,12-14 tahun,Tapsel,setelah tidak banjir saya mulai senang lagi karna saya sudah berkumpul dengan keluarga saya lagi,tidak banjir mulai senang karna sudah kumpul keluarga lagi,6. Harapan Anak,Positif
Perempuan,12-14 tahun,Tapsel,sesudah banjir saya sangat bersedih karna orangorang banyak yang hanyut dan meninggal termasuk rumah orangorang jadi kondisinya sangat berbeda,banjir sangat sedih karna orangorang banyak hanyut tinggal masuk rumah orangorang jadi kondisi sangat beda,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Tapsel,sesudah banjir saya sangat bersedih karna orangorang banyak yang hanyut dan meninggal termasuk rumah orangorang jadi kondisinya sangat berbeda,banjir sangat sedih karna orangorang banyak hanyut tinggal masuk rumah orangorang jadi kondisi sangat beda,4. Kesejahteraan Sosial,Negatif
Perempuan,12-14 tahun,Tapsel,setelah banjir pinggangku sangat sakit karna banyak tokok kayu,banjir pinggang sangat sakit karna banyak tokok kayu,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Tapsel,saat banjir dan setelahnya saya kembali ke garoga saya lihat tidak ada lagi rumah kami sudah hanyut semuanya saya juga ingat melihat ayah dan abang saya yang hanyut,banjir telah kembali garoga lihat ada rumah sudah hanyut semua juga ingat lihat ayah abang yang hanyut,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Tapsel,saat banjir dan setelahnya saya kembali ke garoga saya lihat tidak ada lagi rumah kami sudah hanyut semuanya saya juga ingat melihat ayah dan abang saya yang hanyut,banjir telah kembali garoga lihat ada rumah sudah hanyut semua juga ingat lihat ayah abang yang hanyut,6. Harapan Anak,Netral
Perempuan,12-14 tahun,Tapsel,saya kangen mama sangat kangen mama dibaca mamanya hanyut meninggal,kangen mama sangat kangen mama baca mama hanyut tinggal,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,saat banjir bandang saya dan orangtua saya sangat takut karna air besar sekali,banjir bandang dan orangtua sangat takut karna air besar sekali,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Tapsel,sebelumnya desa yang sangat indah dan bersih setelahnya tidak ada lagi kampung yang saya lihat setiap hari,belum desa sangat indah bersih telah ada kampung saya lihat hari,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,saya mendengar suara air dan kayukayu,dengar suara air kayukayu,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,saya mendengar ada orang yang berantam dan ada sesuatu suara yang aneh,dengar orang rantam ada suara aneh,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,saya dengar banyak cerita kalo banyak sekali yang hanyut,dengar banyak cerita kalo banyak sekali hanyut,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,saya dengar bahwa nenek saya sudah gak ada dan mama saya belum ditemukan,dengar nenek sudah gak dan mama belum temu,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,saya mendengar dari orangtua dan saya dengar juga suara longsor,dengar orangtua saya dengar suara longsor,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,Tapsel,saya mendengar bahwa kayukayu yang hanyut dari pt sago,dengar kayukayu hanyut pt sago,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,saya sering dengar suara anjing dan kucing suara tanah dan suara anakanak,sering dengar suara anjing kucing suara tanah suara anakanak,Lainnya,Netral
Perempuan,12-14 tahun,Tapsel,saya mau rumah saya cepat diperbaiki supaya nyaman dan tidak gelisah lagi,mau rumah cepat baik nyaman tidak gelisah,3. Perlindungan Anak,Positif
Perempuan,12-14 tahun,Tapsel,saya mau rumah saya cepat diperbaiki supaya nyaman dan tidak gelisah lagi,mau rumah cepat baik nyaman tidak gelisah,4. Kesejahteraan Sosial,Positif
Perempuan,12-14 tahun,Tapsel,saya mau rumah saya cepat diperbaiki supaya nyaman dan tidak gelisah lagi,mau rumah cepat baik nyaman tidak gelisah,6. Harapan Anak,Positif
Perempuan,12-14 tahun,Tapsel,saat ke puskesmas saya ketemu sama orang dan menceritakan yang saya alami setiap ke puskesmas ketemu sama orang saya senang kalo bisa diajak main,ke puskesmas ketemu sama orang cerita alami ke puskesmas ketemu sama orang saya senang kalo ajak main,Lainnya,Positif
Perempuan,12-14 tahun,Tapsel,saya mau rumah saya cepat diperbaiki agak saya dan keluarga saya bisa kembali berkumpul,mau rumah cepat baik keluarga saya bisa kumpul,3. Perlindungan Anak,Netral
Perempuan,12-14 tahun,Tapsel,saya mau rumah saya cepat diperbaiki agak saya dan keluarga saya bisa kembali berkumpul,mau rumah cepat baik keluarga saya bisa kumpul,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Tapsel,saya mau rumah saya cepat diperbaiki agak saya dan keluarga saya bisa kembali berkumpul,mau rumah cepat baik keluarga saya bisa kumpul,6. Harapan Anak,Netral
Perempuan,12-14 tahun,Tapsel,saya ingin makan buah supaya tidak makan ituitu saja,ingin makan buah tidak makan ituitu,2. Kesehatan,Netral
Perempuan,12-14 tahun,Tapsel,saya ingin makan buah supaya tidak makan ituitu saja,ingin makan buah tidak makan ituitu,6. Harapan Anak,Netral
Perempuan,12-14 tahun,Tapsel,saya akan ceritakan ini kepada orangtua saya pemerintah dan yang kasih kami bantuan,akan cerita kepada orangtua perintah yang kasih bantu,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,Tapsel,sering makan indomie,sering makan indomie,2. Kesehatan,Netral
Perempuan,12-14 tahun,Tapsel,makan ikan kaleng,makan ikan kaleng,2. Kesehatan,Netral
